index,similarity,path,time,souffle_time,neo4j_time,sim_time,gen_time,automaton_time,num_dup,num_tot
dblp_to_amalgam1-greedy-0.5,"[0.875, 0.875, 0.875, 0.875, 0.875]","[18, 18, 18, 18, 18]","[59.420916274, 57.751159662, 57.798593346, 58.972701627, 59.28407742]","[0.000342981, 0.000339161, 0.000348471, 0.000335431, 0.000357652]","[0.246910724, 0.228243403, 0.228446088, 0.243832481, 0.225883107]","[57.162803513, 55.589270469, 55.604271215, 56.714224026, 57.069144796]","[1.450050447, 1.394010313, 1.417764145, 1.4518305630000001, 1.4235697649999999]","[0.000333681, 0.000338991, 0.000336301, 0.000338031, 0.000334121]","[7, 7, 7, 7, 7]","[16, 16, 16, 16, 16]"
dblp_to_amalgam1-greedy-0.7,"[0.875, 0.875, 0.875, 0.875, 0.875]","[18, 18, 18, 18, 18]","[58.638925639, 58.146939144, 57.487618408, 59.366927834, 60.140449305]","[0.000336131, 0.000381051, 0.000343051, 0.000348051, 0.00034412]","[0.231666948, 0.227464126, 0.223766949, 0.22175235, 0.220326505]","[56.425788684, 55.961877875, 55.335206774, 57.12217306, 57.876239858]","[1.4365461449999999, 1.410072932, 1.390620394, 1.458856023, 1.48475443]","[0.000344191, 0.000366851, 0.000329251, 0.000333911, 0.00033835]","[7, 7, 7, 7, 7]","[16, 16, 16, 16, 16]"
dblp_to_amalgam1-greedy-0.9,"[1, 1, 1, 1, 1]","[23, 23, 23, 23, 23]","[60.353314529, 59.012630208, 59.292513673, 57.698291467, 58.957357366]","[0.00039071, 0.000379411, 0.000392491, 0.000383811, 0.000383931]","[0.442408054, 0.351162064, 0.362816673, 0.332897247, 0.346114775]","[57.801012028, 56.671595294, 56.90235585, 55.405688586, 56.615742043]","[1.490124638, 1.423727198, 1.45709405, 1.412166318, 1.432733275]","[0.000377051, 0.00037644, 0.00038644, 0.00036671, 0.00037988]","[11, 11, 11, 11, 11]","[24, 24, 24, 24, 24]"
dblp_to_amalgam1-greedy-1.0,"[1, 1, 1, 1, 1]","[23, 23, 23, 23, 23]","[57.772387786, 60.400159703, 59.187875008, 58.128170413, 59.206347741]","[0.000384981, 0.000402621, 0.000374911, 0.000397361, 0.000378851]","[0.323340373, 0.322649534, 0.349167726, 0.32677056, 0.371136631]","[55.492823398, 58.023799441, 56.788751997, 55.863129778, 56.816786021]","[1.406183167, 1.478414445, 1.47833579, 1.395363808, 1.452666469]","[0.000397392, 0.000370021, 0.000383201, 0.000385151, 0.000388651]","[11, 11, 11, 11, 11]","[24, 24, 24, 24, 24]"
dblp_to_amalgam1-random-0.5,"[0.875, 0.875, 0.875, 0.875, 0.875]","[18, 18, 18, 18, 18]","[59.943560985, 59.200163283, 58.430289943, 59.100642137, 59.074934772]","[0.000341581, 0.000336111, 0.000351001, 0.000353971, 0.000337501]","[0.226836055, 0.224717071, 0.245789862, 0.216603647, 0.21820422]","[57.651285753, 56.932953764, 56.218999774, 56.877153629, 56.844921253]","[1.4846214149999999, 1.470025127, 1.409359579, 1.437805926, 1.456765179]","[0.000334971, 0.000344811, 0.000333912, 0.000333781, 0.000333131]","[7, 7, 7, 7, 7]","[16, 16, 16, 16, 16]"
dblp_to_amalgam1-random-0.7,"[0.875, 0.875, 0.875, 0.875, 0.875]","[18, 18, 18, 18, 18]","[59.731643453, 58.807775554, 57.8498268, 58.882873005, 58.975396279]","[0.000333662, 0.000338541, 0.00033312, 0.00035234, 0.00034284]","[0.215980657, 0.221787301, 0.215948359, 0.22128333, 0.243240489]","[57.505987039, 56.611059618, 55.695683142, 56.644800812, 56.746150414]","[1.4505052250000001, 1.418431473, 1.392057396, 1.448536406, 1.431546728]","[0.000338761, 0.000332941, 0.00032996, 0.0003427, 0.00033597]","[7, 7, 7, 7, 7]","[16, 16, 16, 16, 16]"
dblp_to_amalgam1-random-0.9,"[0.945, 0.935, 0.965, 1, 0.96]","[21, 21, 22, 23, 22]","[59.987003536, 58.342870045, 57.951242744, 59.326181106, 60.272252025]","[0.00037417, 0.000411431, 0.000379391, 0.000442111, 0.00037369]","[0.361691657, 0.474407094, 0.337052771, 0.548802268, 0.335661328]","[57.560586024, 55.871467371, 55.679088419, 56.743854294, 57.867947882]","[1.457383353, 1.422427928, 1.3947656, 1.451759076, 1.489953827]","[0.000379641, 0.000421121, 0.00038673, 0.000429571, 0.000376481]","[11, 14, 11, 17, 11]","[24, 30, 24, 36, 24]"
dblp_to_amalgam1-random-1.0,"[0.97, 0.975, 0.975, 0.94, 0.97]","[22, 22, 22, 21, 22]","[60.913084098, 59.725357265, 60.067279692, 58.214620431, 58.450935126]","[0.000521051, 0.000454831, 0.000472622, 0.000458062, 0.000473231]","[0.765479949, 0.590646018, 0.561142186, 0.508787862, 0.637459281]","[58.100337845, 57.122869755, 57.464675686, 55.741172793, 55.832707158]","[1.459323262, 1.435552658, 1.462689952, 1.413748972, 1.4088954]","[0.000556741, 0.000469301, 0.000458881, 0.000443571, 0.000474113]","[26, 20, 19, 18, 22]","[54, 42, 40, 38, 46]"
dblp_to_amalgam1-weighted_distance-0.5,"[0.875, 0.875, 0.875, 0.875, 0.875]","[18, 18, 18, 18, 18]","[59.719110258, 58.076837194, 59.81393274, 59.210085765, 60.566287028]","[0.000343171, 0.000341701, 0.000332351, 0.000341631, 0.00033927]","[0.216207056, 0.23883001, 0.218980715, 0.22119032, 0.251060552]","[57.485480721, 55.890114899, 57.565472375, 57.001004873, 58.279165046]","[1.45756195, 1.40151982, 1.459375983, 1.432600335, 1.474062341]","[0.000332341, 0.000330491, 0.000334971, 0.000334842, 0.00033463]","[7, 7, 7, 7, 7]","[16, 16, 16, 16, 16]"
dblp_to_amalgam1-weighted_distance-0.7,"[0.875, 0.875, 0.875, 0.875, 0.875]","[18, 18, 18, 18, 18]","[57.774171961, 59.682299456, 57.937470527, 57.716969056, 59.322324194]","[0.00035767, 0.000341511, 0.000341801, 0.000341391, 0.000335321]","[0.219368815, 0.22456668, 0.225846949, 0.220365444, 0.216645122]","[55.621484765, 57.425543487, 55.748591418, 55.582063688, 57.113037953]","[1.393765117, 1.472322015, 1.416935512, 1.3804982080000001, 1.440859427]","[0.00033831, 0.00034285, 0.000328931, 0.000338931, 0.000339791]","[7, 7, 7, 7, 7]","[16, 16, 16, 16, 16]"
dblp_to_amalgam1-weighted_distance-0.9,"[0.89, 0.89, 0.89, 0.89, 0.89]","[21, 21, 21, 21, 21]","[59.298120245, 59.2177109, 59.422175946, 58.364485363, 60.203031634]","[0.000499651, 0.00049547, 0.000479211, 0.000475702, 0.000499582]","[0.691591109, 0.679340387, 0.685131974, 0.688075066, 0.72141559]","[56.589412274, 56.492897158, 56.736659762, 55.699652352, 57.468039841]","[1.420622918, 1.458662443, 1.4284839790000001, 1.420502836, 1.447329601]","[0.000529611, 0.000513052, 0.000488381, 0.000491862, 0.000516021]","[25, 25, 25, 25, 25]","[52, 52, 52, 52, 52]"
dblp_to_amalgam1-weighted_distance-1.0,"[0.89, 0.89, 0.89, 0.89, 0.89]","[21, 21, 21, 21, 21]","[59.546719984, 58.052736512, 60.020851814, 58.407859552, 58.920609532]","[0.000473141, 0.000488852, 0.000477661, 0.000476491, 0.000476101]","[0.67962034, 0.669041643, 0.694754784, 0.690459857, 0.694894956]","[56.855448323, 55.425864907, 57.269092794, 55.758579466, 56.232283382]","[1.429243639, 1.411580574, 1.473783613, 1.409350677, 1.423927991]","[0.000496841, 0.000516611, 0.000500151, 0.000494261, 0.000494221]","[25, 25, 25, 25, 25]","[52, 52, 52, 52, 52]"
dblp_to_amalgam1-naive-0.5,"[0.875, 0.875, 0.875, 0.875, 0.875]","[18, 18, 18, 18, 18]","[59.833774588, 59.301670759, 57.660799439, 57.649706225, 58.751621192]","[0.000343572, 0.000348919, 0.00033063, 0.000346949, 0.000346]","[0.228266922, 0.24858925, 0.217135862, 0.227181304, 0.223061461]","[57.557308615, 57.038360443, 55.489391983, 55.464917269, 56.538686913]","[1.478893624, 1.448604951, 1.410177446, 1.402131417, 1.441503578]","[0.000339131, 0.000332009, 0.000329089, 0.00033311, 0.000338991]","[7, 7, 7, 7, 7]","[16, 16, 16, 16, 16]"
dblp_to_amalgam1-naive-0.7,"[0.875, 0.875, 0.875, 0.875, 0.875]","[18, 18, 18, 18, 18]","[58.716971296, 58.458397379, 59.126175247, 59.102010677, 59.28952936]","[0.00034338, 0.000337661, 0.000348901, 0.00034379, 0.000335961]","[0.245656678, 0.233615474, 0.229897998, 0.217342092, 0.245237028]","[56.503670327, 56.221470887, 56.874975972, 56.865064974, 57.040056811]","[1.415749738, 1.437176772, 1.453805, 1.450658447, 1.445850415]","[0.00034175, 0.00033583, 0.00033358, 0.000332481, 0.000343181]","[7, 7, 7, 7, 7]","[16, 16, 16, 16, 16]"
dblp_to_amalgam1-naive-0.9,"[1, 1, 1, 1, 1]","[23, 23, 23, 23, 23]","[59.643050292, 58.932926112, 60.581245772, 59.300674872, 60.329139518]","[0.000647441, 0.000654522, 0.000706242, 0.000681134, 0.000652931]","[1.539351202, 1.481215338, 1.5236720620000002, 1.5226759539999999, 1.467583318]","[56.113389181, 55.528893096, 57.041498073, 55.860140746, 56.8600254]","[1.444728303, 1.409888466, 1.494285222, 1.4161740520000001, 1.473549717]","[0.000665931, 0.000670001, 0.000733183, 0.000711372, 0.000657832]","[55, 55, 55, 55, 55]","[112, 112, 112, 112, 112]"
