index,similarity,path,time,souffle_time,neo4j_time,sim_time,gen_time,automaton_time
dblp_to_amalgam1-naive-1,"[1, 1, 1, 1, 1]","[23, 23, 23, 23, 23]","[30.54925578, 29.450616038, 29.45662174, 29.51220028, 29.454586171]","[0.00039967, 0.000379561, 0.000568731, 0.00038167, 0.000384933]","[1.171350125, 0.263952674, 0.258227317, 0.224467436, 0.221555011]","[27.304354045, 27.404560477, 27.40791891, 27.501785722, 27.460659941]","[1.237399131, 1.239701883, 1.24896168, 1.240151256, 1.231261476]","[0.000353731, 0.00036478, 0.000489521, 0.000355032, 0.000354893]"
dblp_to_amalgam1-naive-2,"[1, 1, 1, 1, 1]","[23, 23, 23, 23, 23]","[29.670479418, 29.907004109, 29.897093678, 29.689709837, 29.657726389]","[0.000429992, 0.000434952, 0.000501383, 0.000442492, 0.000429181]","[0.649466086, 0.547922552, 0.576411165, 0.487351361, 0.473206088]","[27.239753856, 27.511897511, 27.552611283, 27.429804591, 27.411629969]","[1.236160157, 1.307123462, 1.23325965, 1.236129717, 1.242573482]","[0.000395324, 0.000401231, 0.000402152, 0.000390813, 0.000386862]"
dblp_to_amalgam1-naive-4,"[1, 1, 1, 1, 1]","[23, 23, 23, 23, 23]","[30.454948514, 30.425320016, 30.147737031, 30.201501274, 30.15799587]","[0.000575042, 0.000557491, 0.000517933, 0.000517091, 0.000535881]","[1.181479122, 1.094753035, 1.074096537, 1.030543439, 1.027726803]","[27.422295212, 27.538370398, 27.317401979, 27.403786642, 27.360197528]","[1.243466736, 1.254621142, 1.229778284, 1.245204157, 1.237857105]","[0.000569422, 0.000486401, 0.000500742, 0.000503425, 0.000471141]"
dblp_to_amalgam1-naive-8,"[1, 1, 1, 1, 1]","[23, 23, 23, 23, 23]","[31.185736404, 31.160835968, 31.238740667, 30.999045278, 30.98581964]","[0.000671982, 0.000680901, 0.00065728, 0.000675911, 0.000862961]","[2.081412087, 1.9462561360000001, 1.836846871, 1.828488782, 1.818297618]","[27.332196805, 27.430351944, 27.637960219, 27.418019867, 27.391404837]","[1.247142618, 1.247912457, 1.248226384, 1.241824789, 1.2529618820000001]","[0.000605232, 0.00058427, 0.000589612, 0.000580532, 0.000718931]"
dblp_to_amalgam1-naive-16,"[1, 1, 1, 1, 1]","[23, 23, 23, 23, 23]","[33.605843237, 32.616090151, 32.603898644, 32.962231211, 32.571380692]","[0.000925232, 0.000940612, 0.000954351, 0.000962403, 0.000961594]","[3.533308973, 3.431176819, 3.407022595, 3.344525641, 3.300129354]","[28.191062938, 27.425961399, 27.420924231, 27.863232485, 27.485155264]","[1.308331451, 1.2636858229999999, 1.275357994, 1.262786636, 1.2806610090000001]","[0.000816753, 0.000839751, 0.000851902, 0.00086026, 0.000848702]"
dblp_to_amalgam1-random-1,"[1, 1, 1, 1, 1]","[23, 23, 23, 23, 23]","[30.179662664, 29.209212525, 29.195169075, 29.246371821, 29.20893714]","[0.000398581, 0.000381851, 0.000383401, 0.000397071, 0.00039458]","[0.183709518, 0.120845615, 0.119371369, 0.118610953, 0.129497917]","[28.019512827, 27.335348021, 27.316604324, 27.363642778, 27.324992682]","[1.25478116, 1.228639675, 1.231359073, 1.22983644, 1.222428334]","[0.000395451, 0.000351191, 0.00034457, 0.00035148, 0.000359921]"
dblp_to_amalgam1-random-2,"[1, 0.9781849912739965, 1, 0.971027216856892, 0.9781849912739965]","[23, 22, 23, 22, 22]","[29.550498679, 29.256231821, 29.213561188, 29.26051518, 29.330962508]","[0.00041864, 0.00042002, 0.000427111, 0.00039667, 0.000445901]","[0.25713045, 0.230128415, 0.257891744, 0.193665404, 0.294727058]","[27.526092118, 27.271107061, 27.210493631, 27.343338045, 27.287491494]","[1.229759514, 1.233516076, 1.214261569, 1.207634779, 1.224500066]","[0.000393701, 0.000381031, 0.000392692, 0.000348571, 0.00039705]"
dblp_to_amalgam1-random-4,"[0.971027216856892, 0.9781849912739965, 1, 0.9499561018437226, 0.9499561018437226]","[22, 22, 23, 21, 21]","[29.456179181, 29.625396517, 29.55902532, 29.671328369, 29.458439382999998]","[0.00042551, 0.000465691, 0.000422891, 0.000437351, 0.000409102]","[0.362975131, 0.495014015, 0.36716526, 0.437057938, 0.335718827]","[27.278551145, 27.347627195, 27.419606729, 27.451264303, 27.349012743]","[1.227833951, 1.237599643, 1.230732661, 1.239356261, 1.238561417]","[0.000380641, 0.00041723, 0.000385801, 0.000404511, 0.000368621]"
dblp_to_amalgam1-random-8,"[0.9781849912739965, 0.9499561018437226, 1, 0.9781849912739965, 0.9650959860383944]","[22, 21, 23, 22, 22]","[29.932236299, 29.412895857, 29.86449596, 29.776105821, 29.814967004]","[0.000530832, 0.00040196, 0.00049373, 0.00045093, 0.000489531]","[0.756977437, 0.353935138, 0.700374749, 0.571268247, 0.721600238]","[27.380750767, 27.280882689, 27.356247179, 27.40744153, 27.328558423]","[1.248804578, 1.23876268, 1.260208869, 1.247907042, 1.22886654]","[0.000458291, 0.000376121, 0.000457381, 0.000401472, 0.00045007]"
dblp_to_amalgam1-random-16,"[0.9650959860383944, 0.9781849912739965, 0.9650959860383944, 0.971027216856892, 0.971027216856892]","[22, 22, 22, 22, 22]","[30.325993408, 30.274616631, 30.301360029, 30.187773235, 30.015500068]","[0.000515231, 0.00053781, 0.000551461, 0.000512761, 0.000507941]","[0.976209098, 1.036737413, 1.062135348, 1.012710469, 0.849637504]","[27.468282725, 27.416124672, 27.407662224, 27.348983937, 27.326556962]","[1.27132928, 1.267327797, 1.270121406, 1.273375342, 1.2777782690000001]","[0.000464161, 0.000495741, 0.000508031, 0.00046728, 0.00044805]"
