index,similarity,path,time,souffle_time,neo4j_time,sim_time,gen_time,automaton_time
dblp_to_amalgam1-random-sources-0-target-0,"[0.9650959860383944, 0.971027216856892, 0.9781849912739965, 0.9499561018437226, 0.971027216856892]","[22, 22, 22, 21, 22]","[29.854004033, 30.255026739, 29.968144513, 29.880856011, 30.239058149]","[0.000563032, 0.000587442, 0.000522652, 0.000497711, 0.000611152]","[0.595704209, 0.859706276, 0.720595363, 0.691480977, 0.944348249]","[27.38537316, 27.579801725, 27.450779963, 27.393057251, 27.485206458]","[1.247076266, 1.247977927, 1.245720608, 1.245159779, 1.249437645]","[0.000420303, 0.000537961, 0.000501341, 0.000451861, 0.000556051]"
dblp_to_amalgam1-random-sources-10-target-10,"[0.9561200923787528, 1, 1, 0.9745958429561201, 0.9561200923787528]","[21, 23, 23, 22, 21]","[37.476936346, 37.717137268, 37.470659863, 38.404204872, 38.710504578]","[0.000473301, 0.000485751, 0.00044284, 0.00053441, 0.000545781]","[0.72360586, 0.8680768, 0.7224359, 0.938552472, 0.898231203]","[32.864924246, 32.911537631, 32.812450761, 33.477884271, 33.793729859]","[2.86606079, 2.903292661, 2.918190253, 2.934089804, 2.968774883]","[0.00038916, 0.000451731, 0.000393581, 0.000471771, 0.00045391]"
dblp_to_amalgam1-random-sources-20-target-20,"[0.9829467939972715, 0.9773817683344757, 0.9773817683344757, 0.956343792633015, 0.9609321453050035]","[22, 22, 22, 21, 21]","[45.338226355, 45.88825639, 45.574292418, 45.592966597, 45.542903601]","[0.000543021, 0.000628742, 0.00050262, 0.000517411, 0.000564521]","[0.989494212, 1.298158814, 0.892429226, 0.991834535, 1.139424731]","[38.978980141, 39.030593003, 39.329896165, 39.315206311, 38.602410205]","[4.010335745, 4.178185947, 4.014119339, 3.914052263, 4.461751864]","[0.000431242, 0.00046809, 0.00039599, 0.00041702, 0.00043648]"
dblp_to_amalgam1-random-sources-30-target-30,"[0.9796170475602224, 0.97539975399754, 0.9606396063960639, 0.9846248462484625, 0.964793082149475]","[22, 22, 21, 22, 21]","[54.455813468, 54.276304598, 54.310979282, 55.269101028, 53.882553615]","[0.000719081, 0.000539131, 0.000599361, 0.00071365, 0.000632543]","[1.419091375, 1.154110959, 1.337296581, 1.53226556, 1.34903344]","[46.478174272, 46.5373706, 46.436508616, 47.02109788, 46.043706264]","[4.830286147, 4.855544126, 4.823649493, 4.954988866, 4.797131165]","[0.000458301, 0.000404321, 0.00042451, 0.000501291, 0.000478653]"
dblp_to_amalgam1-random-sources-40-target-40,"[0.9814502529510961, 0.9776035834266518, 0.9679595278246206, 0.9814502529510961, 0.9860022396416573]","[22, 22, 21, 22, 22]","[60.213183757, 59.525653666, 60.496397002, 60.626684191, 59.949636745]","[0.00097687, 0.000753468, 0.000829406, 0.000750664, 0.000695471]","[2.20386413, 1.63754327, 2.180809813, 2.036721485, 1.690802083]","[50.401925198, 50.309366329, 50.638214915, 50.847794405, 50.520265164]","[5.587902386, 5.578596001, 5.63034746, 5.699196559, 5.693701721]","[0.000489235, 0.000439344, 0.000483713, 0.000470763, 0.000452592]"
dblp_to_amalgam1-random-sources-50-target-50,"[0.9794450154162384, 0.9706034038164002, 0.9794450154162384, 0.987153134635149, 0.987153134635149]","[22, 21, 22, 22, 22]","[66.619082744, 65.777460902, 66.372967679, 66.688839784, 67.097972751]","[0.000951544, 0.000653852, 0.000854703, 0.000911082, 0.001180911]","[2.043846012, 1.180098691, 1.992152174, 2.282019571, 2.564159699]","[55.425215289, 55.573635864, 55.440092777, 55.380880658, 55.469998315]","[6.739054583, 6.651002748, 6.593688913, 6.670204128, 6.65206348]","[0.000460533, 0.000361272, 0.000455592, 0.000448052, 0.000509193]"
dblp_to_amalgam1-random-sources-60-target-60,"[1, 0.9810066476733144, 0.9728442115292997, 0.9728442115292997, 0.9881291547958214]","[23, 22, 21, 21, 22]","[74.380151288, 74.177969034, 73.744391452, 73.071432857, 73.678834403]","[0.001119793, 0.001038502, 0.00097585, 0.00075306, 0.000969771]","[3.6278096619999998, 3.329355214, 3.086028474, 2.604746449, 3.337465478]","[60.497332998, 60.57398701, 60.411052308, 60.363389849, 60.21108389]","[7.526370515, 7.566656581, 7.549595395, 7.450336805, 7.445611589]","[0.000465101, 0.00045704, 0.00044072, 0.000408831, 0.00043354]"
dblp_to_amalgam1-random-sources-70-target-70,"[0.9747675962815405, 1, 1, 0.9747675962815405, 0.9889673433362753]","[21, 23, 23, 21, 22]","[79.20025931, 79.708531673, 78.485428979, 79.896989639, 80.188913699]","[0.000833161, 0.000884322, 0.000637691, 0.001272742, 0.000941153]","[2.519318457, 2.555938154, 1.9330926370000001, 3.489004506, 2.9687224199999998]","[65.376955712, 65.731567921, 65.276876585, 65.13086236, 65.86333812]","[8.324364823, 8.427646583, 8.327005244, 8.283905643, 8.365462918]","[0.00038035, 0.000396742, 0.000349591, 0.000455153, 0.00041398]"
dblp_to_amalgam1-random-sources-80-target-80,"[0.9896949711459192, 0.9863579991732121, 0.9863579991732121, 1, 0.9863579991732121]","[22, 22, 22, 23, 22]","[95.617390011, 91.82383767, 92.226759998, 93.439193155, 94.790201902]","[0.001366781, 0.001393943, 0.001067092, 0.000898071, 0.001305761]","[3.88409398, 3.708001464, 3.24303253, 2.561391313, 4.24097769]","[79.016216325, 75.840710132, 76.667740056, 78.358709849, 78.042388592]","[9.265089189, 8.974937707, 9.105789167, 9.163672044, 9.184752315]","[0.000456482, 0.00044086, 0.00041136, 0.000387241, 0.000465111]"
dblp_to_amalgam1-random-sources-90-target-90,"[0.9578499613302398, 0.9872043427685149, 1, 0.9872043427685149, 1]","[18, 22, 23, 22, 23]","[106.42479732, 102.270728409, 100.91652478, 98.266353472, 100.056987969]","[0.001525571, 0.00163062, 0.001032877, 0.001100657, 0.001862535]","[4.195498431, 4.6886356, 2.959835376, 3.303536582, 4.87325137]","[88.126021333, 83.88820319, 84.15860472, 81.49615015, 81.684355697]","[10.309458082, 9.989920945, 10.062873809, 9.917796804, 9.885907105]","[0.000624981, 0.000459982, 0.000387942, 0.000409692, 0.000493444]"
