index,similarity,path,time,souffle_time,neo4j_time,sim_time,gen_time,automaton_time
dblp_to_amalgam1-random-1,"[1, 1, 1, 1, 1]","[23, 23, 23, 23, 23]","[29.921141124000002, 29.490819308, 29.183238805, 29.473807486, 29.299253287]","[0.000395244, 0.000383734, 0.000382225, 0.000376764, 0.000387854]","[0.780638208, 0.214402627, 0.19506921, 0.199151556, 0.187288967]","[27.189479036, 27.496300501, 27.200563333, 27.518055329, 27.33492828]","[1.255024314, 1.24786051, 1.254943212, 1.229545647, 1.240919355]","[0.000356903, 0.000353464, 0.000362353, 0.000355983, 0.000365083]"
dblp_to_amalgam1-random-2,"[0.9781849912739965, 0.971027216856892, 1, 0.9499561018437226, 1]","[22, 22, 23, 21, 23]","[29.609454446, 29.371887545, 29.41820336, 29.426115036, 29.48288354]","[0.000459159, 0.000423619, 0.000433701, 0.000414171, 0.000421243]","[0.550078953, 0.343387647, 0.379672293, 0.326543409, 0.339419207]","[27.280622745, 27.241235704, 27.240566602, 27.308089044, 27.360331644]","[1.240113845, 1.247274878, 1.243457485, 1.24762978, 1.246207377]","[0.00041263, 0.0004024, 0.000403243, 0.000381771, 0.000401513]"
dblp_to_amalgam1-random-4,"[1, 1, 0.971027216856892, 0.971027216856892, 0.9781849912739965]","[23, 23, 22, 22, 22]","[29.939003875, 29.70637124, 29.511168061, 29.971026468, 29.627686517]","[0.000498241, 0.000416391, 0.000387962, 0.000467562, 0.000413622]","[0.663504562, 0.429115858, 0.327229952, 0.524322588, 0.424648153]","[27.381659648, 27.471062162, 27.369739456, 27.619384897, 27.388847436]","[1.258544713, 1.254749668, 1.264853938, 1.261031394, 1.258001203]","[0.00046429, 0.000381722, 0.000357751, 0.000431383, 0.000388981]"
dblp_to_amalgam1-random-8,"[0.9781849912739965, 0.9781849912739965, 0.9781849912739965, 1, 0.9499561018437226]","[22, 22, 22, 23, 21]","[30.357162082, 30.188262803, 29.904527273, 30.079950737, 29.456799459]","[0.000551572, 0.000552532, 0.000495493, 0.000534694, 0.000418837]","[1.032156184, 0.965080413, 0.740515252, 0.82530032, 0.5115473]","[27.498193499, 27.383940454, 27.322552289, 27.42109201, 27.128080586]","[1.262978691, 1.273206581, 1.276455773, 1.275356501, 1.272111441]","[0.000507702, 0.000500512, 0.000446193, 0.000507833, 0.000378328]"
dblp_to_amalgam1-random-16,"[0.9650959860383944, 0.9650959860383944, 0.9650959860383944, 0.9650959860383944, 1]","[22, 22, 22, 22, 23]","[30.755799649, 30.060294344, 30.227788012, 30.162249676, 30.162840173]","[0.000507973, 0.000505913, 0.000511232, 0.000538263, 0.000466294]","[1.092348337, 0.969780277, 1.04317396, 1.10429616, 0.894682832]","[27.743160358, 27.255073529, 27.357552004, 27.213483582, 27.434381637]","[1.301720035, 1.273634263, 1.266064902, 1.279683881, 1.275604438]","[0.000462584, 0.000454142, 0.000470533, 0.000488532, 0.000479592]"
dblp_to_amalgam1-weighted_distance-1,"[1, 1, 1, 1, 1]","[23, 23, 23, 23, 23]","[29.259961511, 29.287913826, 29.239083728, 29.097498878, 29.185570993]","[0.000387652, 0.000377891, 0.000378112, 0.000378281, 0.000537312]","[0.16935055, 0.148783104, 0.122736002, 0.112562352, 0.136987372]","[27.207035591, 27.369812973, 27.353627512, 27.217753109, 27.289983294]","[1.239737271, 1.242607072, 1.243545387, 1.244520924, 1.233886764]","[0.000363931, 0.000353033, 0.000349112, 0.000348853, 0.000378683]"
dblp_to_amalgam1-weighted_distance-2,"[1, 1, 1, 1, 1]","[23, 23, 23, 23, 23]","[29.442225157, 29.364924559, 29.326953369, 29.431913047, 29.325769694]","[0.000404711, 0.000409462, 0.000434062, 0.000411812, 0.000406091]","[0.239707692, 0.253615735, 0.243145417, 0.254699581, 0.25564126]","[27.401349238, 27.325609963, 27.305388368, 27.394065268, 27.309431714]","[1.259796625, 1.250954923, 1.247699315, 1.244502102, 1.235543381]","[0.000376212, 0.000395701, 0.000388922, 0.000382611, 0.000375071]"
dblp_to_amalgam1-weighted_distance-4,"[1, 1, 1, 1, 1]","[23, 23, 23, 23, 23]","[29.832245151, 29.657186931, 30.240609678, 29.650659338, 29.811754164]","[0.000460801, 0.000469712, 0.000461592, 0.000476751, 0.000464171]","[0.562719297, 0.533347912, 0.543120655, 0.537257075, 0.557027233]","[27.414390839, 27.322512889, 27.863328612, 27.325143791, 27.442415053]","[1.251407745, 1.254878548, 1.276497071, 1.244425859, 1.262023147]","[0.000422922, 0.000431383, 0.000418192, 0.000412451, 0.000435423]"
dblp_to_amalgam1-weighted_distance-8,"[0.912739965095986, 0.912739965095986, 0.912739965095986, 0.912739965095986, 0.912739965095986]","[21, 21, 21, 21, 21]","[29.922139991999998, 29.852347661, 29.872101699, 29.968519473, 29.998713273]","[0.000465303, 0.000467901, 0.000470598, 0.000472451, 0.000465081]","[0.698410601, 0.690461029, 0.688825573, 0.714715832, 0.712872179]","[27.392427562, 27.338564258, 27.356336282, 27.416119466, 27.467878283]","[1.270673111, 1.27397175, 1.27121623, 1.279454659, 1.269751244]","[0.000437873, 0.000443679, 0.000451969, 0.000445541, 0.000434231]"
dblp_to_amalgam1-weighted_distance-16,"[0.912739965095986, 0.912739965095986, 0.912739965095986, 0.912739965095986, 0.912739965095986]","[21, 21, 21, 21, 21]","[30.174998521, 30.127153683, 29.978374498, 30.024525443, 30.936012258]","[0.000464421, 0.000448262, 0.000468042, 0.000448452, 0.000451131]","[0.919513396, 0.942925496, 0.875353482, 0.886195968, 0.901517557]","[27.371950695, 27.332305523, 27.27723094, 27.3008416, 28.137599569]","[1.270066249, 1.29235801, 1.279541433, 1.283719417, 1.314150476]","[0.000437231, 0.000421862, 0.000434131, 0.000428761, 0.000427751]"
