index,similarity,path,time,souffle_time,neo4j_time,sim_time,gen_time,automaton_time,num_dup,num_tot
"greedy-amalgam1_to_amalgam3","[1, 1, 1, 1, 1]","[24, 24, 24, 24, 24]","[128.464189383, 129.595658723, 127.928458339, 126.905240683, 128.77925432]","[0.000736223, 0.001061884, 0.000745852, 0.000732262, 0.000738442]","[1.381781253, 1.391787412, 1.218033691, 1.2147499210000001, 1.138627133]","[117.935154481, 119.053506411, 117.609957213, 116.701683432, 118.586211574]","[6.198516052, 6.235091995, 6.178696542, 6.134762187, 6.185555295]","[0.000424731, 0.000447802, 0.000405472, 0.000411471, 0.000418271]","[19, 19, 19, 19, 19]","[40, 40, 40, 40, 40]"
"random-amalgam1_to_amalgam3","[0.9793866264454499, 0.9663147310206134, 0.9793866264454499, 0.9793866264454499, 0.9793866264454499]","[23, 22, 23, 23, 23]","[129.443871364, 127.541916598, 127.273333526, 127.763972791, 127.64204382]","[0.000957973, 0.000887341, 0.000976803, 0.000886452, 0.000906401]","[1.923396337, 1.8404987080000001, 1.88089851, 1.537685639, 1.706128803]","[118.28291705, 116.681515017, 116.277773194, 117.106741394, 116.81590275]","[6.146076169, 6.11012926, 6.127467869, 6.138455328, 6.16604403]","[0.000644974, 0.000633594, 0.000663175, 0.000554853, 0.000607382]","[40, 35, 41, 33, 37]","[82, 72, 84, 68, 76]"
"weighted_distance-amalgam1_to_amalgam3","[0.9396681749622926, 0.9396681749622926, 0.9396681749622926, 0.9396681749622926, 0.9396681749622926]","[22, 22, 22, 22, 22]","[127.871672698, 128.244624814, 122.885323984, 122.937606657, 124.082961724]","[0.000835419, 0.000838891, 0.000816584, 0.000814165, 0.000816552]","[1.438246042, 1.383819097, 1.410527037, 1.386169546, 1.398152283]","[117.338874228, 117.701577686, 112.458178795, 112.583102935, 113.636775892]","[6.172438324, 6.20860214, 6.166851557, 6.125525058, 6.204928872]","[0.000516869, 0.000510756, 0.000511396, 0.000514657, 0.000510684]","[30, 30, 30, 30, 30]","[62, 62, 62, 62, 62]"
"naive-amalgam1_to_amalgam3","[1, 1, 1, 1, 1]","[24, 24, 24, 24, 24]","[129.610766075, 130.022509545, 126.200846537, 128.267289022, 132.176049825]","[0.001487953, 0.001472152, 0.001483263, 0.001734162, 0.001482]","[4.953094363, 4.93501323, 4.863068858, 4.9437855840000005, 4.754757697]","[115.14158713, 115.526598156, 111.831239912, 113.858421569, 117.795289087]","[6.1728471129999996, 6.201799791, 6.179156882, 6.15416745, 6.207687902]","[0.001090778, 0.001081888, 0.001050863, 0.001058395, 0.001062038]","[111, 111, 111, 111, 111]","[224, 224, 224, 224, 224]"
"greedy-flighthotel","[1, 1, 1, 1, 1]","[16, 16, 16, 16, 16]","[1.125182171, 1.109775273, 1.129984259, 1.059043533, 1.06505068]","[0.00022754, 0.00015537, 0.00022602, 0.00017141, 0.00017868]","[0.890053294, 0.861872491, 0.896536392, 0.829321548, 0.838694483]","[0.004061495, 0.003915866, 0.004095388, 0.004165783, 0.003990674]","[0.002180308, 0.001685999, 0.002143178, 0.001825079, 0.001898378]","[0.000661809, 0.000509999, 0.00062648, 0.000537279, 0.00054931]","[54, 54, 54, 54, 54]","[110, 110, 110, 110, 110]"
"random-flighthotel","[0.3575757575757576, 0.5151515151515151, 0.47878787878787876, 0.3151515151515151, 0.3575757575757576]","[6, 8, 8, 4, 6]","[1.074795046, 1.92087347, 1.7569867019999998, 0.837384767, 1.015499843]","[0.00022237, 0.00033004, 0.00024142, 0.00017073, 0.000218809]","[0.867933152, 1.562973721, 1.45089195, 0.659754425, 0.787058297]","[0.004199521, 0.007177869, 0.006945466, 0.003482545, 0.003727363]","[0.00213054, 0.003383705, 0.002717386, 0.001674038, 0.002099806]","[0.00077777, 0.001168448, 0.000892728, 0.000644939, 0.000796267]","[74, 126, 127, 71, 68]","[138, 230, 220, 118, 124]"
"weighted_distance-flighthotel","[0.30303030303030304, 0.30303030303030304, 0.30303030303030304, 0.30303030303030304, 0.30303030303030304]","[3, 3, 3, 3, 3]","[0.543756763, 0.555144801, 0.579826602, 0.548570204, 0.534518735]","[0.00014788, 0.00016609, 0.00014955, 0.00014216, 0.00014488]","[0.400084324, 0.410826065, 0.423268947, 0.405139836, 0.39092496]","[0.002348937, 0.002207965, 0.002332016, 0.002172224, 0.002265146]","[0.001390127, 0.001438879, 0.001379907, 0.001318258, 0.001351997]","[0.000567909, 0.00058408, 0.000548629, 0.00054642, 0.000563288]","[43, 43, 43, 43, 43]","[74, 74, 74, 74, 74]"
"naive-flighthotel","[1, 1, 1, 1, 1]","[16, 16, 16, 16, 16]","[263.040180974, 261.927682877, 255.300168618, 253.377656472, 286.582732819]","[0.024757811, 0.0242382, 0.02390704, 0.023628616, 0.023809343]","[250.805432806, 243.64719305, 236.863930415, 235.095388955, 268.222670007]","[1.55123725, 1.491934999, 1.481367826, 1.47856251, 1.489158418]","[0.454214865, 0.438707204, 0.436055705, 0.431124889, 0.436553096]","[0.097482493, 0.094011556, 0.09366465, 0.092953177, 0.092944473]","[37933, 37933, 37933, 37933, 37933]","[41806, 41806, 41806, 41806, 41806]"
"greedy-persondata","[1, 1, 1, 1, 1]","[13, 13, 13, 13, 13]","[1.020433003, 0.976656733, 0.970529003, 0.943292242, 0.905265561]","[0.00010739, 0.000129512, 0.000107221, 0.00011883, 0.000107591]","[0.925452605, 0.877228527, 0.879175113, 0.848528463, 0.81040437]","[0.013784521, 0.015686833, 0.013810161, 0.013818571, 0.013877779]","[0.000993766, 0.001295056, 0.000957726, 0.001075676, 0.001011338]","[0.000226781, 0.000314122, 0.000221941, 0.000236622, 0.000252303]","[42, 42, 42, 42, 42]","[86, 86, 86, 86, 86]"
"random-persondata","[0.525, 0.645, 0.82, 0.585, 0.64]","[9, 8, 11, 11, 8]","[1.4782133339999999, 1.851726929, 3.033158052, 1.693443, 2.047663167]","[0.000172411, 0.000211011, 0.000370961, 0.000249152, 0.000266193]","[1.34157389, 1.666565663, 2.686819857, 1.474476234, 1.811426992]","[0.023203259, 0.026812148, 0.041248855, 0.024303914, 0.02872051]","[0.001705551, 0.002083561, 0.00369162, 0.002393735, 0.002516045]","[0.000397392, 0.000482595, 0.000794666, 0.000513793, 0.0005664]","[86, 109, 172, 94, 118]","[170, 212, 332, 182, 230]"
