index,similarity,path,time,souffle_time,neo4j_time,sim_time,gen_time,automaton_time,num_dup,num_tot
dblp_to_amalgam1-greedy-10,"[1, 1, 1, 1, 1]","[23, 23, 23, 23, 23]","[59.000689868, 58.603906448000004, 61.008219164, 58.666848834, 60.26132737]","[0.000460817, 0.000388592, 0.000400974, 0.000382534, 0.000381115]","[0.409210297, 0.339366511, 0.338743732, 0.336922506, 0.319676004]","[56.524451821, 56.314005664, 58.612560827, 56.388220654, 57.962582721]","[1.425437281, 1.410817477, 1.477583673, 1.405255242, 1.429034291]","[0.000401012, 0.000387063, 0.000399554, 0.000381725, 0.000388576]","[11, 11, 11, 11, 11]","[24, 24, 24, 24, 24]"
dblp_to_amalgam1-greedy-50,"[1, 1, 1, 1, 1]","[23, 23, 23, 23, 23]","[59.987645626, 59.498994237, 58.387465082, 59.686075587, 60.339250337]","[0.00037892, 0.000379075, 0.000379293, 0.000382696, 0.000384874]","[0.323469986, 0.320318691, 0.312137057, 0.324675481, 0.317147344]","[57.631458376, 57.192503694, 56.139610206, 57.353647963, 57.994995515]","[1.457830183, 1.434770804, 1.3981118399999999, 1.439289961, 1.453173397]","[0.000401335, 0.000384584, 0.000389955, 0.000391204, 0.000387324]","[11, 11, 11, 11, 11]","[24, 24, 24, 24, 24]"
dblp_to_amalgam1-greedy-100,"[1, 1, 1, 1, 1]","[23, 23, 23, 23, 23]","[59.977087328, 58.243696778, 60.805421918, 58.831105341, 58.787890565]","[0.000376606, 0.000394705, 0.000400265, 0.000378561, 0.000374836]","[0.343500043, 0.329064866, 0.324368023, 0.310423055, 0.317443475]","[57.595147369, 55.960511085, 58.437395733, 56.55331785, 56.570771319]","[1.4642402780000001, 1.404405345, 1.478698264, 1.426797622, 1.359760253]","[0.000393056, 0.000386036, 0.000405905, 0.00040294, 0.000388756]","[11, 11, 11, 11, 11]","[24, 24, 24, 24, 24]"
dblp_to_amalgam1-greedy-200,"[1, 1, 1, 1, 1]","[23, 23, 23, 23, 23]","[59.629853484, 58.340237824, 58.416230724, 59.869950743, 59.340163746]","[0.000387686, 0.000382046, 0.000385497, 0.00040075, 0.000381277]","[0.32873299, 0.32596991, 0.318521966, 0.348073834, 0.310736586]","[57.281005802, 56.066101694, 56.120988651, 57.500007704, 57.072256658]","[1.445006059, 1.4029282140000001, 1.422102336, 1.446816713, 1.4008048450000001]","[0.000388036, 0.000381235, 0.000383968, 0.000438312, 0.000384147]","[11, 11, 11, 11, 11]","[24, 24, 24, 24, 24]"
dblp_to_amalgam1-greedy-None,"[1, 1, 1, 1, 1]","[23, 23, 23, 23, 23]","[59.178692816, 59.602780965, 59.940419963, 58.73632476, 59.8425919]","[0.000389117, 0.000395216, 0.000389533, 0.000390494, 0.000393545]","[0.315259019, 0.329295151, 0.326898543, 0.316095893, 0.315996688]","[56.905625808, 57.244445978, 57.548537193, 56.462684386, 57.534225275]","[1.389459494, 1.457187112, 1.491155822, 1.418739976, 1.435407613]","[0.000387956, 0.000393174, 0.000392772, 0.000386183, 0.000403466]","[11, 11, 11, 11, 11]","[24, 24, 24, 24, 24]"
dblp_to_amalgam1-random-10,"[1, 0.945, 0.975, 0.97, 0.935]","[23, 21, 22, 22, 21]","[59.576100472, 60.569363362, 60.441927543, 59.557036379, 60.709027952]","[0.000388007, 0.00048225, 0.000473615, 0.000427917, 0.000430398]","[0.325862528, 0.623143753, 0.584879746, 0.43945189, 0.476932632]","[57.229162077, 57.934610657, 57.772034265, 57.12391236, 58.202617076]","[1.4347407699999999, 1.427273761, 1.477673449, 1.433594992, 1.4568811240000001]","[0.000414306, 0.000494581, 0.000499654, 0.000441497, 0.00044306]","[11, 22, 20, 15, 17]","[24, 46, 42, 32, 36]"
dblp_to_amalgam1-random-50,"[1, 0.97, 0.94, 0.975, 0.94]","[23, 22, 21, 22, 21]","[60.185341635, 59.503697915000004, 61.089910178, 61.182075984, 60.7639343]","[0.000529522, 0.000486465, 0.000527567, 0.000525294, 0.000491793]","[0.579502469, 0.621989811, 0.715976883, 0.769572703, 0.485414043]","[57.559332257, 56.859057217, 58.297551283, 58.337895307, 58.225318465]","[1.471842189, 1.4467991279999999, 1.478887147, 1.470081155, 1.472813964]","[0.000481971, 0.000525683, 0.000547476, 0.000551076, 0.000489906]","[21, 23, 25, 28, 17]","[44, 48, 52, 58, 36]"
dblp_to_amalgam1-random-100,"[0.965, 0.935, 1, 0.975, 0.945]","[22, 21, 23, 22, 21]","[59.813672283, 59.552265063, 61.332097487, 59.218309642, 60.52527991]","[0.000598739, 0.000488856, 0.000488371, 0.000509689, 0.000522976]","[0.827857042, 0.661639088, 0.636437799, 0.644071977, 0.645918053]","[56.968519346, 56.867338359, 58.617487925, 56.610693935, 57.845824003]","[1.445838929, 1.449006337, 1.493382252, 1.408098072, 1.453893087]","[0.000600829, 0.000532366, 0.000505552, 0.000519529, 0.000539096]","[31, 25, 24, 23, 24]","[64, 52, 50, 48, 50]"
dblp_to_amalgam1-random-200,"[0.97, 0.97, 0.94, 0.94, 0.97]","[22, 22, 21, 21, 22]","[60.495977607, 59.012447421, 60.554915131, 58.972701767, 60.489020315]","[0.000471565, 0.000495088, 0.000470898, 0.000477638, 0.000474015]","[0.546757961, 0.659592103, 0.59312256, 0.56479226, 0.517766724]","[57.879597904, 56.587370131, 57.90634296, 56.39481408, 57.945433461]","[1.4670925989999999, 1.210297116, 1.467855242, 1.442631772, 1.440952886]","[0.000488444, 0.000508477, 0.000491058, 0.000510303, 0.000480415]","[19, 25, 22, 21, 19]","[40, 52, 46, 44, 40]"
dblp_to_amalgam1-random-None,"[0.965, 1, 0.94, 0.975, 0.93]","[22, 23, 21, 22, 21]","[60.102647558, 59.693540415, 60.872048717, 60.707381846, 61.482177958]","[0.000465387, 0.0004781, 0.000415956, 0.000435349, 0.000431178]","[0.569506504, 0.532205039, 0.409073314, 0.424189626, 0.433053705]","[57.520882929, 57.281159833, 58.340192962, 58.230757313, 58.942900965]","[1.436780408, 1.312262318, 1.5209746389999999, 1.466130063, 1.502384656]","[0.000479211, 0.000481667, 0.000414886, 0.000465978, 0.00042622]","[20, 19, 14, 15, 15]","[42, 40, 30, 32, 32]"
dblp_to_amalgam1-weighted_distance-10,"[0.89, 0.89, 0.89, 0.89, 0.89]","[21, 21, 21, 21, 21]","[59.62528157, 61.104580031, 61.983544308, 61.532843129, 61.566766256]","[0.000511042, 0.0004819, 0.000493291, 0.000489793, 0.000491661]","[0.72168472, 0.703145981, 0.694116666, 0.735760429, 0.735847533]","[56.820653668, 58.342085352, 59.147909787, 58.713668317, 58.730661503]","[1.4509357170000001, 1.453655195, 1.5408908289999999, 1.487228735, 1.494040247]","[0.000542773, 0.00050906, 0.00051884, 0.000502648, 0.000528232]","[25, 25, 25, 25, 25]","[52, 52, 52, 52, 52]"
